Date,Station Number,Boarding,Line,Total
2012-10-31,150,True,1,2291181
2012-11-30,150,True,1,2292638
2012-12-31,150,True,1,2278869
2013-01-31,150,True,1,2232612
2013-02-28,150,True,1,2070466
2013-03-31,150,True,1,2274638
2013-04-30,150,True,1,2213223
2013-05-31,150,True,1,2361522
2013-06-30,150,True,1,2114634
2013-07-31,150,True,1,2148849
2013-08-31,150,True,1,2178720
2013-09-30,150,True,1,2075690
2013-10-31,150,True,1,2323547
2013-11-30,150,True,1,2323746
2013-12-31,150,True,1,2306504
2014-01-31,150,True,1,2102229
2014-02-28,150,True,1,2079068
2014-03-31,150,True,1,2261792
2014-04-30,150,True,1,2155002
2014-05-31,150,True,1,2327928
2014-06-30,150,True,1,2139880
2014-07-31,150,True,1,2203786
2014-08-31,150,True,1,2252079
2014-09-30,150,True,1,2141627
2014-10-31,150,True,1,2352490
2014-11-30,150,True,1,2258522
2014-12-31,150,True,1,2391344
2015-01-31,150,True,1,2158454
2015-02-28,150,True,1,1914523
2015-03-31,150,True,1,2155316
2015-04-30,150,True,1,1937807
2015-05-31,150,True,1,1999422
2015-06-30,150,True,1,1517042
2015-07-31,150,True,1,1765441
2015-08-31,150,True,1,1824394
2015-09-30,150,True,1,1797934
2015-10-31,150,True,1,1975115
2015-11-30,150,True,1,1951229
2015-12-31,150,True,1,2028652
2016-01-31,150,True,1,1888918
2016-02-29,150,True,1,1792750
2016-03-31,150,True,1,1958520
2016-04-30,150,True,1,1933971
2016-05-31,150,True,1,1981205
2016-06-30,150,True,1,1885087
2016-07-31,150,True,1,1884874
2016-08-31,150,True,1,1885151
2016-09-30,150,True,1,1820983
2016-10-31,150,True,1,1953371
2016-11-30,150,True,1,1996544
2016-12-31,150,True,1,1933204
2017-01-31,150,True,1,1748747
2017-02-28,150,True,1,1711991
2017-03-31,150,True,1,1788322
2017-04-30,150,True,1,1611785
2017-05-31,150,True,1,1659026
2017-06-30,150,True,1,1608553
2017-07-31,150,True,1,1539686
2017-08-31,150,True,1,1563865
2017-09-30,150,True,1,1605109
2017-10-31,150,True,1,1578153
2017-11-30,150,True,1,1676997
2017-12-31,150,True,1,1703459
2018-01-31,150,True,1,1611570
2018-02-28,150,True,1,1494358
2018-03-31,150,True,1,1690111
2018-04-30,150,True,1,1657842
2018-05-31,150,True,1,1698608
2018-06-30,150,True,1,1589870
2018-07-31,150,True,1,1683885
2018-08-31,150,True,1,1697400
2018-09-30,150,True,1,1635631
2018-10-31,150,True,1,1841130
2018-11-30,150,True,1,1855559
2018-12-31,150,True,1,1807969
2019-01-31,150,True,1,1743693
2019-02-28,150,True,1,1562360
2019-03-31,150,True,1,1775410
2019-04-30,150,True,1,1782335
2019-05-31,150,True,1,1822756
2019-06-30,150,True,1,1688313
2019-07-31,150,True,1,1741924
2019-08-31,150,True,1,1734793
2019-09-30,150,True,1,1641561
2019-10-31,150,True,1,1837853
2019-11-30,150,True,1,1791702
2019-12-31,150,True,1,1825036
2020-01-31,150,True,1,1656228
2020-02-29,150,True,1,1165552
2020-03-31,150,True,1,820308
2020-04-30,150,True,1,919843
2020-05-31,150,True,1,1086363
2020-06-30,150,True,1,1127907
2020-07-31,150,True,1,1221698
2020-08-31,150,True,1,1015723
2020-09-30,150,True,1,865776
2020-10-31,150,True,1,1089113
2020-11-30,150,True,1,1139037
2020-12-31,150,True,1,846225
2021-01-31,150,True,1,863458
2021-02-28,150,True,1,890837
2021-03-31,150,True,1,1108175
2021-04-30,150,True,1,1111708
2021-05-31,150,True,1,1114198
2021-06-30,150,True,1,1152736
2021-07-31,150,True,1,973890
2021-08-31,150,True,1,942247
2021-09-30,150,True,1,957454
2021-10-31,150,True,1,1125587
2021-11-30,150,True,1,1270858
2021-12-31,150,True,1,1186125
2022-01-31,150,True,1,1088942
2022-02-28,150,True,1,916887
2022-03-31,150,True,1,988038
2022-04-30,150,True,1,1185355
2022-05-31,150,True,1,1400399
2022-06-30,150,True,1,1349241
2022-07-31,150,True,1,1367960
2022-08-31,150,True,1,1352225
2022-09-30,150,True,1,1366919
2022-10-31,150,True,1,1529836
2022-11-30,150,True,1,1523855
2022-12-31,150,True,1,1551181
2023-01-31,150,True,1,1403345
2023-02-28,150,True,1,1441789
2023-03-31,150,True,1,1576848
2023-04-30,150,True,1,1553807
2023-05-31,150,True,1,1608424
2023-06-30,150,True,1,1570932
2023-07-31,150,True,1,1572456
2023-08-31,150,True,1,1545055
2023-09-30,150,True,1,1503339
2023-10-31,150,True,1,1649113
2023-11-30,150,True,1,1670513
2023-12-31,150,True,1,1661160
2024-01-31,150,True,1,1598492
2024-02-29,150,True,1,1528944
2024-03-31,150,True,1,1681096
2024-04-30,150,True,1,1674748
2024-05-31,150,True,1,1721928
2024-06-30,150,True,1,1598191
2024-07-31,150,True,1,1662645
2024-08-31,150,True,1,1611318
2024-09-30,150,True,1,1516321
2024-10-31,150,True,1,1731490
2024-11-30,150,True,1,1742817
2024-12-31,150,True,1,1732323
2008-01-31,151,False,1,857174
2008-02-29,151,False,1,656095
2008-03-31,151,False,1,760128
2008-04-30,151,False,1,719933
2008-05-31,151,False,1,835640
2008-06-30,151,False,1,855608
2008-07-31,151,False,1,764671
2008-08-31,151,False,1,727739
2008-09-30,151,False,1,687799
2008-10-31,151,False,1,780629
2008-11-30,151,False,1,710342
2008-12-31,151,False,1,817904
2009-01-31,151,False,1,702900
2009-02-28,151,False,1,690062
2009-03-31,151,False,1,723925
2009-04-30,151,False,1,706174
2009-05-31,151,False,1,818113
2009-06-30,151,False,1,722926
2009-07-31,151,False,1,739462
2009-08-31,151,False,1,783461
2009-09-30,151,False,1,721928
2009-10-31,151,False,1,689878
2009-11-30,151,False,1,677380
2009-12-31,151,False,1,760838
2010-01-31,151,False,1,666226
2010-02-28,151,False,1,594100
2010-03-31,151,False,1,703146
